gene	celltype	priority	ensgene
GFAP	NSC (type 1 / radial glia-like progenitor)	F	ENSMUSG00000020932
NCAM1	Immature neuron	F	ENSMUSG00000039542
aldh1L1	Astrocyte	F	ENSMUSG00000030088
aqp4	Astrocyte	T	ENSMUSG00000024411
Ascl1	NSC (type 1 / radial glia-like progenitor)	F	ENSMUSG00000020052
Ascl1	"NPC (type2a/b, 3)"	F	ENSMUSG00000020052
calb1	Neuron	F	ENSMUSG00000028222
calb2	Neuron	F	ENSMUSG00000003657
prom1	NSC (type 1 / radial glia-like progenitor)	F	ENSMUSG00000029086
Ssea1	NSC (type 1 / radial glia-like progenitor)	F	#N/A
cmtm5	Oligodendrocyte	F	ENSMUSG00000040759
Dcx	Immature neuron	T	ENSMUSG00000031285
EGFR	NSC (type 1 / radial glia-like progenitor)	T	ENSMUSG00000020122
EGFR	"NPC (type2a/b, 3)"	T	ENSMUSG00000020122
Emx2	"NPC (type2a/b, 3)"	F	ENSMUSG00000043969
FoxG1	"NPC (type2a/b, 3)"	F	ENSMUSG00000020950
gabra1	Neuron	F	ENSMUSG00000010803
galc	Oligodendrocyte	T	ENSMUSG00000021003
gbp1	Oligodendrocyte	F	#N/A
gfap	Astrocyte	T	ENSMUSG00000020932
gjb6	Astrocyte	F	ENSMUSG00000040055
gjc2	Oligodendrocyte	F	ENSMUSG00000043448
KCC2	Neuron	F	#N/A
Ki67	"NPC (type2a/b, 3)"	F	#N/A
mbp	Oligodendrocyte	F	ENSMUSG00000041607
mog	Oligodendrocyte	F	ENSMUSG00000076439
nefh	Neuron	F	ENSMUSG00000020396
nefl	Neuron	F	ENSMUSG00000022055
nefm	Neuron	F	ENSMUSG00000022054
Nes	NSC (type 1 / radial glia-like progenitor)	T	ENSMUSG00000004891
Nes	"NPC (type2a/b, 3)"	T	ENSMUSG00000004891
NeuroD1	Immature neuron	T	ENSMUSG00000034701
NEUROG2	"NPC (type2a/b, 3)"	T	ENSMUSG00000027967
olig2	Oligodendrocyte	T	ENSMUSG00000039830
omg	Oligodendrocyte	F	ENSMUSG00000049612
Pax6	NSC (type 1 / radial glia-like progenitor)	F	ENSMUSG00000027168
Pax6	"NPC (type2a/b, 3)"	F	ENSMUSG00000027168
Prox1	Neuron	T	ENSMUSG00000010175
rbfox3	Neuron	F	ENSMUSG00000025576
S100B	Astrocyte	F	ENSMUSG00000033208
snap25	Neuron	F	ENSMUSG00000027273
sox10	Oligodendrocyte	F	ENSMUSG00000033006
Sox2	NSC (type 1 / radial glia-like progenitor)	T	ENSMUSG00000074637
Sox2	"NPC (type2a/b, 3)"	T	ENSMUSG00000074637
syt1	Neuron	F	ENSMUSG00000035864
Tbr2	"NPC (type2a/b, 3)"	F	#N/A
tubb3	Immature neuron	T	ENSMUSG00000062380
Vim	NSC (type 1 / radial glia-like progenitor)	F	ENSMUSG00000026728
Rps4x	Ribosomal	T	ENSMUSG00000031320
Rpl37	Ribosomal	T	ENSMUSG00000041841
Rpl38	Ribosomal	T	ENSMUSG00000057322
Rpl35	Ribosomal	T	ENSMUSG00000062997
Rpl36	Ribosomal	T	ENSMUSG00000057863
Rpsa	Ribosomal	T	ENSMUSG00000032518
Rpl35a	Ribosomal	T	ENSMUSG00000060636
Rplp1	Ribosomal	T	ENSMUSG00000007892
Rpl39	Ribosomal	T	ENSMUSG00000079641
Rplp0	Ribosomal	T	ENSMUSG00000067274
Rps27a	Ribosomal	T	ENSMUSG00000020460
Rps20	Ribosomal	T	ENSMUSG00000028234
Rpl7	Ribosomal	T	ENSMUSG00000043716
Rps23	Ribosomal	T	ENSMUSG00000049517
Rpl6	Ribosomal	T	ENSMUSG00000029614
Rps24	Ribosomal	T	ENSMUSG00000025290
Rpl9	Ribosomal	T	ENSMUSG00000047215
Rps21	Ribosomal	T	ENSMUSG00000039001
Rpl8	Ribosomal	T	ENSMUSG00000003970
Rpl3	Ribosomal	T	ENSMUSG00000060036
Rps27	Ribosomal	T	ENSMUSG00000090733
Rplp2	Ribosomal	T	ENSMUSG00000025508
Rpl30	Ribosomal	T	ENSMUSG00000058600
Rps28	Ribosomal	T	ENSMUSG00000067288
Rps25	Ribosomal	T	ENSMUSG00000009927
Rpl5	Ribosomal	T	ENSMUSG00000058558
Rps26	Ribosomal	T	ENSMUSG00000025362
Rpl4	Ribosomal	T	ENSMUSG00000032399
Rpl34	Ribosomal	T	ENSMUSG00000062006
Rpl18a	Ribosomal	T	ENSMUSG00000045128
Rps29	Ribosomal	T	ENSMUSG00000034892
Rpl32	Ribosomal	T	ENSMUSG00000057841
Rpl31	Ribosomal	T	ENSMUSG00000073702
Rpl24	Ribosomal	T	ENSMUSG00000098274
Rpl26	Ribosomal	T	ENSMUSG00000060938
Rpl27	Ribosomal	T	ENSMUSG00000063316
Rpl28	Ribosomal	T	ENSMUSG00000030432
Rpl29	Ribosomal	T	ENSMUSG00000048758
Rps9	Ribosomal	T	ENSMUSG00000006333
Rps6	Ribosomal	T	ENSMUSG00000028495
Rps5	Ribosomal	T	ENSMUSG00000012848
Rps8	Ribosomal	T	ENSMUSG00000047675
Rps7	Ribosomal	T	ENSMUSG00000061477
Rpl10a	Ribosomal	T	ENSMUSG00000037805
Rpl21	Ribosomal	T	ENSMUSG00000041453
Rpl23	Ribosomal	T	ENSMUSG00000071415
Rpl22	Ribosomal	T	ENSMUSG00000028936
Rpl19	Ribosomal	T	ENSMUSG00000017404
