Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P62192	PRS4_MOUSE	reviewed	26S proteasome regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1)	Psmc1	Mus musculus (Mouse)	440
P54728	RD23B_MOUSE	reviewed	UV excision repair protein RAD23 homolog B (HR23B) (mHR23B) (XP-C repair-complementing complex 58 kDa protein) (p58)	Rad23b Mhr23b	Mus musculus (Mouse)	416
P28076	PSB9_MOUSE	reviewed	Proteasome subunit beta type-9 (EC 3.4.25.1) (LMP-2d) (Low molecular mass protein 2) (Macropain chain 7) (Multicatalytic endopeptidase complex chain 7) (Proteasome chain 7) (Proteasome subunit beta-1i) (Really interesting new gene 12 protein)	Psmb9 Lmp2 Ring12	Mus musculus (Mouse)	219
P99026	PSB4_MOUSE	reviewed	Proteasome subunit beta type-4 (EC 3.4.25.1) (Low molecular mass protein 3) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3)	Psmb4 Lmp3	Mus musculus (Mouse)	264
O55234	PSB5_MOUSE	reviewed	Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain epsilon chain) (Multicatalytic endopeptidase complex epsilon chain) (Proteasome chain 6) (Proteasome epsilon chain) (Proteasome subunit X)	Psmb5	Mus musculus (Mouse)	264
Q5SSW2	PSME4_MOUSE	reviewed	Proteasome activator complex subunit 4 (Proteasome activator PA200) (Protein TEMO)	Psme4 Kiaa0077	Mus musculus (Mouse)	1843
P62196	PRS8_MOUSE	reviewed	26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (p45/SUG) (mSUG1)	Psmc5 Sug1	Mus musculus (Mouse)	406
Q9R1P4	PSA1_MOUSE	reviewed	Proteasome subunit alpha type-1 (EC 3.4.25.1) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain)	Psma1	Mus musculus (Mouse)	263
Q9QUM9	PSA6_MOUSE	reviewed	Proteasome subunit alpha type-6 (EC 3.4.25.1) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain)	Psma6	Mus musculus (Mouse)	246
O35955	PSB10_MOUSE	reviewed	Proteasome subunit beta type-10 (EC 3.4.25.1) (Low molecular mass protein 10) (Macropain subunit MECl-1) (Multicatalytic endopeptidase complex subunit MECl-1) (Proteasome MECl-1) (Proteasome subunit beta-2i)	Psmb10 Lmp10 Mecl1	Mus musculus (Mouse)	273
P28063	PSB8_MOUSE	reviewed	Proteasome subunit beta type-8 (EC 3.4.25.1) (Low molecular mass protein 7) (Macropain subunit C13) (Multicatalytic endopeptidase complex subunit C13) (Proteasome component C13) (Proteasome subunit beta-5i)	Psmb8 Lmp7 Mc13	Mus musculus (Mouse)	276
Q9JKV1	ADRM1_MOUSE	reviewed	Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein) (Gp110) (Adhesion-regulating molecule 1) (ARM-1) (Rpn13 homolog)	Adrm1 Gp110	Mus musculus (Mouse)	407
O08759	UBE3A_MOUSE	reviewed	Ubiquitin-protein ligase E3A (EC 2.3.2.26) (HECT-type ubiquitin transferase E3A) (Oncogenic protein-associated protein E6-AP)	Ube3a	Mus musculus (Mouse)	870
Q8R317	UBQL1_MOUSE	reviewed	Ubiquilin-1 (Protein linking IAP with cytoskeleton 1) (PLIC-1)	Ubqln1 Plic1	Mus musculus (Mouse)	582
Q9WUP7	UCHL5_MOUSE	reviewed	Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin C-terminal hydrolase UCH37) (Ubiquitin thioesterase L5)	Uchl5 Uch37	Mus musculus (Mouse)	329
P49722	PSA2_MOUSE	reviewed	Proteasome subunit alpha type-2 (EC 3.4.25.1) (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3)	Psma2 Lmpc3	Mus musculus (Mouse)	234
O35226	PSMD4_MOUSE	reviewed	26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Multiubiquitin chain-binding protein)	Psmd4 Mcb1	Mus musculus (Mouse)	376
Q6PDI5	ECM29_MOUSE	reviewed	Proteasome adapter and scaffold protein ECM29 (Proteasome-associated protein ECM29 homolog)	Ecpas Ecm29 Kiaa0368	Mus musculus (Mouse)	1840
Q9Z2U0	PSA7_MOUSE	reviewed	Proteasome subunit alpha type-7 (EC 3.4.25.1) (Proteasome subunit RC6-1)	Psma7	Mus musculus (Mouse)	248
P54726	RD23A_MOUSE	reviewed	UV excision repair protein RAD23 homolog A (HR23A) (mHR23A)	Rad23a Mhr23a	Mus musculus (Mouse)	363
