Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q9D6T0	NOSIP_MOUSE	reviewed	Nitric oxide synthase-interacting protein (E3 ubiquitin-protein ligase NOSIP) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase NOSIP)	Nosip	Mus musculus (Mouse)	301
Q7TPH6	MYCB2_MOUSE	reviewed	E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.-) (Myc-binding protein 2) (Pam/highwire/rpm-1 protein) (Protein Magellan) (Protein associated with Myc)	Mycbp2 Pam Phr1	Mus musculus (Mouse)	4749
Q8BM54	MYLIP_MOUSE	reviewed	E3 ubiquitin-protein ligase MYLIP (EC 2.3.2.27) (Inducible degrader of the LDL-receptor) (Idol) (Myosin regulatory light chain-interacting protein) (MIR) (RING-type E3 ubiquitin transferase MYLIP)	Mylip	Mus musculus (Mouse)	445
Q8R554	OTU7A_MOUSE	reviewed	OTU domain-containing protein 7A (EC 3.4.19.12) (Zinc finger protein Cezanne 2)	Otud7a Cezanne2 Otud7	Mus musculus (Mouse)	926
P46737	BRCC3_MOUSE	reviewed	Lys-63-specific deubiquitinase BRCC36 (EC 3.4.19.-) (BRCA1-A complex subunit BRCC36) (BRCA1/BRCA2-containing complex subunit 3) (BRCA1/BRCA2-containing complex subunit 36) (BRISC complex subunit BRCC36)	Brcc3 Brcc36 C6.1a	Mus musculus (Mouse)	291
Q811C2	ATG4C_MOUSE	reviewed	Cysteine protease ATG4C (EC 3.4.22.-) (AUT-like 3 cysteine endopeptidase) (Autophagin-3) (Autophagy-related cysteine endopeptidase 3) (Autophagy-related protein 4 homolog C)	Atg4c Apg4c Autl3	Mus musculus (Mouse)	458
A2A6Q5	CDC27_MOUSE	reviewed	Cell division cycle protein 27 homolog	Cdc27	Mus musculus (Mouse)	825
Q810L3	CHFR_MOUSE	reviewed	E3 ubiquitin-protein ligase CHFR (EC 2.3.2.27) (Checkpoint with forkhead and RING finger domains protein) (RING-type E3 ubiquitin transferase CHFR)	Chfr	Mus musculus (Mouse)	664
P51944	CCNF_MOUSE	reviewed	Cyclin-F	Ccnf	Mus musculus (Mouse)	777
Q99JP4	CDC26_MOUSE	reviewed	Anaphase-promoting complex subunit CDC26 (Cell division cycle protein 26 homolog)	Cdc26	Mus musculus (Mouse)	85
