Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Class
Q9JJD8	Q9JJD8_MOUSE	unreviewed	"Brain cDNA, clone MNCb-1272, similar to Mus musculus chaperonin subunit 2 (beta) (Cct2), mRNA"	Cct2	Mus musculus (Mouse)	488	TRiC
A0A1W2P871	A0A1W2P871_MOUSE	unreviewed	T-complex protein 1 subunit beta (Fragment)	Cct2	Mus musculus (Mouse)	64	TRiC
A0A1W2P828	A0A1W2P828_MOUSE	unreviewed	T-complex protein 1 subunit beta (Fragment)	Cct2	Mus musculus (Mouse)	85	TRiC
A0A1W2P7B7	A0A1W2P7B7_MOUSE	unreviewed	T-complex protein 1 subunit beta (Fragment)	Cct2	Mus musculus (Mouse)	217	TRiC
A0A1W2P6Q3	A0A1W2P6Q3_MOUSE	unreviewed	T-complex protein 1 subunit beta	Cct2	Mus musculus (Mouse)	181	TRiC
P80314	TCPB_MOUSE	reviewed	T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta)	Cct2 Cctb	Mus musculus (Mouse)	535	TRiC
Q542X7	Q542X7_MOUSE	unreviewed	"Chaperonin subunit 2 (Beta), isoform CRA_a"	Cct2 mCG_17329	Mus musculus (Mouse)	535	TRiC
Q3UJP4	Q3UJP4_MOUSE	unreviewed	T-complex protein 1 subunit gamma	Cct3	Mus musculus (Mouse)	545	TRiC
Q3U0I3	Q3U0I3_MOUSE	unreviewed	T-complex protein 1 subunit gamma	Cct3	Mus musculus (Mouse)	521	TRiC
Q3TBM6	Q3TBM6_MOUSE	unreviewed	Uncharacterized protein	Cct3	Mus musculus (Mouse)	277	TRiC
F6Q609	F6Q609_MOUSE	unreviewed	T-complex protein 1 subunit gamma (Fragment)	Cct3	Mus musculus (Mouse)	306	TRiC
E9Q133	E9Q133_MOUSE	unreviewed	T-complex protein 1 subunit gamma	Cct3	Mus musculus (Mouse)	507	TRiC
P80318	TCPG_MOUSE	reviewed	T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma) (Matricin) (mTRiC-P5)	Cct3 Cctg	Mus musculus (Mouse)	545	TRiC
Q3U4U6	Q3U4U6_MOUSE	unreviewed	T-complex protein 1 subunit gamma	Cct3 mCG_8828	Mus musculus (Mouse)	545	TRiC
Q3UJZ8	Q3UJZ8_MOUSE	unreviewed	T-complex protein 1 subunit delta	Cct4	Mus musculus (Mouse)	539	TRiC
Q3TII0	Q3TII0_MOUSE	unreviewed	T-complex protein 1 subunit delta	Cct4	Mus musculus (Mouse)	539	TRiC
G5E839	G5E839_MOUSE	unreviewed	T-complex protein 1 subunit delta	Cct4	Mus musculus (Mouse)	509	TRiC
G3UYW5	G3UYW5_MOUSE	unreviewed	T-complex protein 1 subunit delta	Cct4	Mus musculus (Mouse)	120	TRiC
P80315	TCPD_MOUSE	reviewed	T-complex protein 1 subunit delta (TCP-1-delta) (A45) (CCT-delta)	Cct4 Cctd	Mus musculus (Mouse)	539	TRiC
Q564F4	Q564F4_MOUSE	unreviewed	T-complex protein 1 subunit delta	Cct4 mCG_8764	Mus musculus (Mouse)	539	TRiC
E0CZA1	E0CZA1_MOUSE	unreviewed	T-complex protein 1 subunit epsilon (Fragment)	Cct5	Mus musculus (Mouse)	199	TRiC
P80316	TCPE_MOUSE	reviewed	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)	Cct5 Ccte Kiaa0098	Mus musculus (Mouse)	541	TRiC
Q52KG9	Q52KG9_MOUSE	unreviewed	"Chaperonin containing Tcp1, subunit 6a (Zeta)"	Cct6a	Mus musculus (Mouse)	531	TRiC
Q3TW97	Q3TW97_MOUSE	unreviewed	Uncharacterized protein	Cct6a	Mus musculus (Mouse)	531	TRiC
Q3TIX8	Q3TIX8_MOUSE	unreviewed	Uncharacterized protein	Cct6a	Mus musculus (Mouse)	531	TRiC
Q3TI62	Q3TI62_MOUSE	unreviewed	Uncharacterized protein	Cct6a	Mus musculus (Mouse)	531	TRiC
P80317	TCPZ_MOUSE	reviewed	T-complex protein 1 subunit zeta (TCP-1-zeta) (CCT-zeta-1)	Cct6a Cct6 Cctz Cctz1	Mus musculus (Mouse)	531	TRiC
Q3TI05	Q3TI05_MOUSE	unreviewed	"Chaperonin containing Tcp1, subunit 6a (Zeta) (Chaperonin subunit 6a (Zeta))"	Cct6a mCG_12435	Mus musculus (Mouse)	531	TRiC
Q61390	TCPW_MOUSE	reviewed	T-complex protein 1 subunit zeta-2 (TCP-1-zeta-2) (CCT-zeta-2) (Cctz-2)	Cct6b	Mus musculus (Mouse)	531	TRiC
Q8BVT1	Q8BVT1_MOUSE	unreviewed	Uncharacterized protein	Cct6b	Mus musculus (Mouse)	492	TRiC
B1AT05	B1AT05_MOUSE	unreviewed	T-complex protein 1 subunit zeta-2	Cct6b	Mus musculus (Mouse)	492	TRiC
Q497N0	Q497N0_MOUSE	unreviewed	"Chaperonin containing Tcp1, subunit 6b (Zeta) (Chaperonin subunit 6b (Zeta), isoform CRA_b)"	Cct6b mCG_8191	Mus musculus (Mouse)	531	TRiC
Q8C5Q5	Q8C5Q5_MOUSE	unreviewed	Uncharacterized protein	Cct7	Mus musculus (Mouse)	544	TRiC
Q3UIJ0	Q3UIJ0_MOUSE	unreviewed	Uncharacterized protein	Cct7	Mus musculus (Mouse)	544	TRiC
Q3UDB1	Q3UDB1_MOUSE	unreviewed	Uncharacterized protein (Fragment)	Cct7	Mus musculus (Mouse)	481	TRiC
Q3TJN2	Q3TJN2_MOUSE	unreviewed	Uncharacterized protein	Cct7	Mus musculus (Mouse)	544	TRiC
Q3THH8	Q3THH8_MOUSE	unreviewed	Uncharacterized protein	Cct7	Mus musculus (Mouse)	544	TRiC
Q3TET0	Q3TET0_MOUSE	unreviewed	Uncharacterized protein	Cct7	Mus musculus (Mouse)	544	TRiC
A0A0N4SV00	A0A0N4SV00_MOUSE	unreviewed	T-complex protein 1 subunit eta	Cct7	Mus musculus (Mouse)	502	TRiC
P80313	TCPH_MOUSE	reviewed	T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta)	Cct7 Ccth	Mus musculus (Mouse)	544	TRiC
Q3TIJ7	Q3TIJ7_MOUSE	unreviewed	"Chaperonin subunit 7 (Eta), isoform CRA_a"	Cct7 mCG_128675	Mus musculus (Mouse)	544	TRiC
Q9CS06	Q9CS06_MOUSE	unreviewed	Uncharacterized protein (Fragment)	Cct8	Mus musculus (Mouse)	458	TRiC
Q9CRW7	Q9CRW7_MOUSE	unreviewed	Uncharacterized protein (Fragment)	Cct8	Mus musculus (Mouse)	263	TRiC
Q8BVY8	Q8BVY8_MOUSE	unreviewed	Uncharacterized protein	Cct8	Mus musculus (Mouse)	548	TRiC
Q3UKQ2	Q3UKQ2_MOUSE	unreviewed	Uncharacterized protein	Cct8	Mus musculus (Mouse)	548	TRiC
H3BLL1	H3BLL1_MOUSE	unreviewed	T-complex protein 1 subunit theta (Fragment)	Cct8	Mus musculus (Mouse)	132	TRiC
H3BL49	H3BL49_MOUSE	unreviewed	T-complex protein 1 subunit theta	Cct8	Mus musculus (Mouse)	489	TRiC
H3BKG2	H3BKG2_MOUSE	unreviewed	T-complex protein 1 subunit theta (Fragment)	Cct8	Mus musculus (Mouse)	158	TRiC
P42932	TCPQ_MOUSE	reviewed	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta)	Cct8 Cctq	Mus musculus (Mouse)	548	TRiC
Q3UL22	Q3UL22_MOUSE	unreviewed	"Chaperonin subunit 8 (Theta), isoform CRA_a"	Cct8 mCG_129996	Mus musculus (Mouse)	548	TRiC
Q6A0F1	Q6A0F1_MOUSE	unreviewed	MKIAA0002 protein (Fragment)	Cct8 mKIAA0002	Mus musculus (Mouse)	555	TRiC
Q80YT3	Q80YT3_MOUSE	unreviewed	"Chaperonin-containing TCP1, subunit 8 (theta)-like 1 (Gene model 443, (NCBI))"	Cct8l1 Gm443	Mus musculus (Mouse)	562	TRiC
Q9WVS5	Q9WVS5_MOUSE	unreviewed	Chaperonin containing TCP-1 theta subunit	Cctq	Mus musculus (Mouse)	547	TRiC
Q9CWM4	PFD1_MOUSE	reviewed	Prefoldin subunit 1	Pfdn1	Mus musculus (Mouse)	122	TRiC
O70591	PFD2_MOUSE	reviewed	Prefoldin subunit 2	Pfdn2 Pfd2	Mus musculus (Mouse)	154	TRiC
Q3UWL8	Q3UWL8_MOUSE	unreviewed	Prefoldin subunit 4	Pfdn4	Mus musculus (Mouse)	134	TRiC
E9Q6U4	E9Q6U4_MOUSE	unreviewed	Prefoldin subunit 4	Pfdn4	Mus musculus (Mouse)	130	TRiC
Q9WU28	PFD5_MOUSE	reviewed	Prefoldin subunit 5 (EIG-1) (Myc modulator 1) (c-Myc-binding protein Mm-1)	Pfdn5 Eig1 Mm1 Pfd5	Mus musculus (Mouse)	154	TRiC
Q03958	PFD6_MOUSE	reviewed	Prefoldin subunit 6 (Protein Ke2)	Pfdn6 H2-Ke2 Pfd6	Mus musculus (Mouse)	127	TRiC
W0TYI4	W0TYI4_MOUSE	unreviewed	T-complex protein 1 (Fragment)	Tcp1	Mus musculus (Mouse)	235	TRiC
F2Z483	F2Z483_MOUSE	unreviewed	T-complex protein 1 subunit alpha	Tcp1	Mus musculus (Mouse)	103	TRiC
P11983	TCPA_MOUSE	reviewed	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha) (Tailless complex polypeptide 1A) (TCP-1-A) (Tailless complex polypeptide 1B) (TCP-1-B)	Tcp1 Cct1 Ccta	Mus musculus (Mouse)	556	TRiC
P61759	PFD3_MOUSE	reviewed	Prefoldin subunit 3 (von Hippel-Lindau-binding protein 1) (VBP-1) (VHL-binding protein 1)	Vbp1 Pfdn3	Mus musculus (Mouse)	196	TRiC
P24622	CRYAA_MOUSE	reviewed	Alpha-crystallin A chain	Cryaa Crya1	Mus musculus (Mouse)	196	sHSPs
P23927	CRYAB_MOUSE	reviewed	Alpha-crystallin B chain (Alpha(B)-crystallin) (P23)	Cryab Crya2	Mus musculus (Mouse)	175	sHSPs
P14602	HSPB1_MOUSE	reviewed	Heat shock protein beta-1 (HspB1) (Growth-related 25 kDa protein) (Heat shock 25 kDa protein) (HSP 25) (Heat shock 27 kDa protein) (HSP 27) (p25)	Hspb1 Hsp25 Hsp27	Mus musculus (Mouse)	209	sHSPs
Q5EBG6	HSPB6_MOUSE	reviewed	Heat shock protein beta-6 (HspB6)	Hspb6 Gm479	Mus musculus (Mouse)	162	sHSPs
P35385	HSPB7_MOUSE	reviewed	Heat shock protein beta-7 (HspB7) (Cardiovascular heat shock protein) (cvHsp) (Heat shock protein 25 kDa 2) (Protein p19/6.8)	Hspb7 Cvhsp Hsp25-2	Mus musculus (Mouse)	169	sHSPs
Q9JK92	HSPB8_MOUSE	reviewed	Heat shock protein beta-8 (HspB8) (Alpha-crystallin C chain) (Small stress protein-like protein HSP22)	Hspb8 Cryac Hsp22	Mus musculus (Mouse)	196	sHSPs
Q9CQT5	POMP_MOUSE	reviewed	Proteasome maturation protein (Proteassemblin) (Protein UMP1 homolog) (mUMP1)	Pomp	Mus musculus (Mouse)	141	
Q9Z2X2	PSD10_MOUSE	reviewed	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin)	Psmd10	Mus musculus (Mouse)	231	
Q8BJY1	PSMD5_MOUSE	reviewed	26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B)	Psmd5 Kiaa0072	Mus musculus (Mouse)	504	
Q9CR00	PSMD9_MOUSE	reviewed	26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27)	Psmd9	Mus musculus (Mouse)	222	
Q9JK23	PSMG1_MOUSE	reviewed	Proteasome assembly chaperone 1 (Down syndrome critical region protein 2 homolog)	Psmg1 Dscr2	Mus musculus (Mouse)	289	
Q9EST4	PSMG2_MOUSE	reviewed	Proteasome assembly chaperone 2 (CD40 ligand-activated specific transcript 3) (Tumor necrosis factor superfamily member 5-induced protein 1)	Psmg2 Clast3 Tnfsf5ip1	Mus musculus (Mouse)	264	
Q9CZH3	PSMG3_MOUSE	reviewed	Proteasome assembly chaperone 3 (PAC-3) (mPAC3)	Psmg3 Pac3	Mus musculus (Mouse)	122	
P0C7N9	PSMG4_MOUSE	reviewed	Proteasome assembly chaperone 4 (PAC-4) (mPAC4)	Psmg4 Pac4	Mus musculus (Mouse)	123	
Q78ZA7	NP1L4_MOUSE	reviewed	Nucleosome assembly protein 1-like 4	Nap1l4	Mus musculus (Mouse)	375	
Q61937	NPM_MOUSE	reviewed	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	Npm1	Mus musculus (Mouse)	292	
Q80W85	NPM2_MOUSE	reviewed	Nucleoplasmin-2	Npm2	Mus musculus (Mouse)	207	
Q9CPP0	NPM3_MOUSE	reviewed	Nucleoplasmin-3	Npm3	Mus musculus (Mouse)	175	
